,elbo,pre_g_mean,pre_acsa,o_g_mean,o_acsa
1,-105.01147,0.7983571,0.8102663,0.5549605,0.5523469
1,-103.357956,0.80450135,0.8159992,0.23680383,0.20204745
2,-102.2786,0.7750016,0.7923878,0.27849644,0.26940596
3,-101.70554,0.79224896,0.80563396,0.26201516,0.2586206
4,-100.51701,0.82926214,0.84134233,0.28827715,0.26651073
5,-99.88959,0.8408129,0.8512012,0.2782665,0.25959983
6,-99.254005,0.82239425,0.8359387,0.28853935,0.27946815
7,-99.098076,0.83569777,0.8474779,0.5418801,0.52213174
8,-97.9886,0.83007425,0.8419563,0.58395267,0.5789622
9,-97.75402,0.80028677,0.81769454,0.5915051,0.59002894
10,-97.66072,0.8479463,0.85795295,0.5979488,0.5886268
11,-96.72289,0.8441712,0.85577804,0.44373003,0.43265975
12,-96.25968,0.8450742,0.85655576,0.42613035,0.42983404
13,-96.427925,0.8143006,0.82931995,0.42325726,0.41337946
14,-95.568825,0.82063514,0.83276033,0.46970555,0.4687898
15,-95.32817,0.85876465,0.86824334,0.42010468,0.40789497
16,-95.3504,0.8631308,0.87129605,0.42539948,0.42216015
17,-95.50653,0.8490501,0.8607362,0.40870833,0.4105052
18,-94.58515,0.83929294,0.85231596,0.524228,0.5093195
19,-94.864334,0.82413334,0.83884966,0.4921247,0.48020184
20,-95.06521,0.8421298,0.8528883,0.51126134,0.4995417
21,-94.10288,0.84935254,0.86016095,0.48533168,0.4659858
22,-94.27376,0.8185689,0.83166385,0.44349998,0.4431055
23,-94.15146,0.83842826,0.847866,0.5391994,0.5311598
24,-94.22989,0.83935887,0.84756994,0.48689246,0.483468
25,-93.441765,0.8569747,0.8652094,0.47134468,0.46289793
26,-93.138985,0.84759766,0.8568365,0.48918736,0.48204863
27,-93.11911,0.853528,0.86250836,0.5266073,0.50472015
28,-93.05933,0.84513557,0.85283947,0.4712833,0.46654883
29,-93.19597,0.84952056,0.857853,0.45561263,0.4484951
30,-92.79152,0.85742766,0.86829454,0.4830011,0.4960538
31,-92.90185,0.8257935,0.84079194,0.5079783,0.49757686
32,-92.798096,0.8373299,0.84673417,0.4155215,0.43602103
33,-92.34162,0.86842877,0.8760741,0.54088026,0.51591533
34,-92.14124,0.86507946,0.8754444,0.44232348,0.43260545
35,-92.07923,0.8348064,0.84788287,0.47394982,0.4857327
36,-92.280304,0.84436864,0.85369456,0.52498996,0.5639865
37,-91.91972,0.8596448,0.8706969,0.44508877,0.44196576
38,-91.72099,0.8534149,0.8632866,0.56858236,0.57894105
39,-91.84719,0.85008734,0.8617505,0.49333474,0.4875054
40,-91.561874,0.8621434,0.8722072,0.50147486,0.51711965
41,-91.14623,0.84971577,0.8611478,0.5618729,0.5549504
42,-91.832504,0.8527237,0.8653261,0.621224,0.6371152
43,-91.1135,0.85925204,0.8674806,0.42223272,0.4397191
44,-90.95582,0.8449977,0.8560532,0.50352454,0.507402
45,-91.10617,0.84875596,0.8591393,0.4745369,0.46808589
46,-91.2005,0.862522,0.87131107,0.5871016,0.6042094
47,-90.67114,0.85761184,0.86508745,0.52068543,0.5293309
48,-91.17619,0.8598783,0.8696206,0.5735708,0.59078246
49,-90.79927,0.84327537,0.85425246,0.5641535,0.57546365
50,-90.73288,0.84838396,0.85968953,0.586991,0.60016763
51,-90.51443,0.85496086,0.864383,0.58860445,0.62443465
52,-90.53298,0.8569152,0.8650893,0.48103064,0.5050343
53,-90.78744,0.85348004,0.8644087,0.56914014,0.5962473
54,-90.3201,0.8559612,0.86612827,0.45899847,0.48315582
55,-91.44509,0.8552017,0.8632202,0.6435226,0.6631733
56,-90.33808,0.8202235,0.8337586,0.49159747,0.50066686
57,-90.18312,0.85023135,0.86023116,0.5996074,0.6130675
58,-90.64828,0.8544043,0.8646988,0.5153668,0.5155131
59,-89.70389,0.853198,0.8622041,0.5506429,0.5565393
60,-89.75763,0.8408878,0.85365576,0.58032066,0.6125886
61,-89.89821,0.8572975,0.8669651,0.5003323,0.54071355
62,-90.343765,0.85546434,0.8671004,0.55372167,0.5782699
63,-90.39626,0.8510983,0.86168957,0.50593185,0.5405664
64,-89.640816,0.84822243,0.85808885,0.6115176,0.6360083
65,-89.700096,0.8517022,0.86106694,0.544463,0.58337754
66,-89.7546,0.8593552,0.8692101,0.50389004,0.5272645
67,-89.410965,0.85426235,0.8642107,0.46462378,0.48864073
68,-89.898224,0.84745306,0.85984933,0.47205696,0.4999057
