,elbo,pre_g_mean,pre_acsa
5,-4682.729,0.28424937,0.548
10,-4672.911,0.5730764,0.664
15,-4658.536,0.6738095,0.726
20,-4652.6357,0.69927126,0.74
25,-4650.596,0.7533245,0.772
30,-4634.295,0.74061793,0.76
35,-4640.4307,0.74061793,0.76
40,-4636.953,0.74061793,0.76
45,-4648.5635,0.74061793,0.76
50,-4626.8535,0.74061793,0.76
55,-4640.7266,0.74061793,0.76
60,-4633.616,0.74061793,0.76
65,-4646.379,0.74061793,0.76
70,-4634.233,0.74061793,0.76
75,-4638.29,0.74061793,0.76
80,-4659.1333,0.74061793,0.76
85,-4639.412,0.74061793,0.76
90,-4628.3594,0.74061793,0.76
95,-4637.284,0.74061793,0.76
100,-4630.5723,0.74061793,0.76
105,-4640.865,0.74061793,0.76
110,-4638.168,0.74061793,0.76
115,-4628.6143,0.74061793,0.76
120,-4636.33,0.74061793,0.76
125,-4638.2754,0.74061793,0.76
130,-4633.4478,0.74061793,0.76
135,-4639.6074,0.74061793,0.76
140,-4636.4004,0.74061793,0.76
145,-4641.242,0.74061793,0.76
150,-4651.2725,0.74061793,0.76
155,-4636.886,0.74061793,0.76
160,-4637.2964,0.74061793,0.76
165,-4641.2637,0.74061793,0.76
170,-4634.825,0.74061793,0.76
175,-4630.9287,0.74061793,0.76
180,-4631.31,0.74061793,0.76
185,-4642.5225,0.74061793,0.76
190,-4638.132,0.74061793,0.76
195,-4633.17,0.74061793,0.76
200,-4632.4863,0.74061793,0.76
44,2340.1016,0.42154416,0.55
49,2388.689,0.59558094,0.684
54,2419.1724,0.6714556,0.724
59,2420.168,0.6969224,0.732
48,-2374.898,0.35690957,0.534
53,-2300.8545,0.58554596,0.666
58,-2321.7148,0.68350405,0.724
63,-2288.626,0.6854323,0.722
68,-2302.5542,0.7289565,0.752
73,-2293.644,0.72846955,0.744
78,-2295.6123,0.72846955,0.744
83,-2274.5679,0.72846955,0.744
88,-2296.064,0.72846955,0.744
93,-2274.787,0.72846955,0.744
98,-2285.9165,0.72846955,0.744
103,-2281.4634,0.72846955,0.744
108,-2286.1157,0.72846955,0.744
113,-2294.5762,0.72846955,0.744
118,-2266.0679,0.72846955,0.744
123,-2279.1567,0.72846955,0.744
128,-2274.683,0.72846955,0.744
133,-2279.085,0.72846955,0.744
138,-2276.8936,0.72846955,0.744
143,-2290.894,0.72846955,0.744
148,-2274.7139,0.72846955,0.744
153,-2270.809,0.72846955,0.744
158,-2275.8281,0.72846955,0.744
163,-2259.9272,0.72846955,0.744
168,-2296.476,0.72846955,0.744
173,-2270.1807,0.72846955,0.744
178,-2258.8027,0.72846955,0.744
183,-2262.8428,0.72846955,0.744
188,-2267.3506,0.72846955,0.744
77,-2274.4097,0.6724245,0.722
82,-2281.665,0.7032013,0.738
87,-2273.7407,0.73391783,0.76
92,-2273.6108,0.71359736,0.76
97,-2273.082,0.66879517,0.708
102,-2286.0771,0.6406128,0.712
107,-2291.1147,0.6406128,0.712
112,-2281.206,0.6406128,0.712
117,-2275.6406,0.6406128,0.712
122,-2264.7817,0.6406128,0.712
87,-2299.8975,0.71382743,0.732
88,-2329.0664,0.62393653,0.684
93,-2306.1387,0.65857625,0.716
98,-2300.9072,0.6820573,0.73
103,-2298.5352,0.68569106,0.732
108,-2283.5366,0.67294294,0.716
113,-2285.4478,0.7262004,0.76
118,-2285.1196,0.7262004,0.76
123,-2280.6367,0.7262004,0.76
128,-2284.7139,0.7262004,0.76
133,-2283.7388,0.7262004,0.76
138,-2279.312,0.7262004,0.76
143,-2284.103,0.7262004,0.76
148,-2266.0635,0.7262004,0.76
153,-2287.5703,0.7262004,0.76
158,-2257.669,0.7262004,0.76
163,-2278.4912,0.7262004,0.76
168,-2312.413,0.7262004,0.76
173,-2290.67,0.7262004,0.76
178,-2275.6016,0.7262004,0.76
183,-2282.7954,0.7262004,0.76
188,-2278.8936,0.7262004,0.76
193,-2268.769,0.7262004,0.76
198,-2286.129,0.7262004,0.76
203,-2276.4536,0.7262004,0.76
208,-2271.6094,0.7262004,0.76
213,-2267.498,0.7262004,0.76
218,-2282.8145,0.7262004,0.76
223,-2286.0347,0.7262004,0.76
228,-2273.538,0.7262004,0.76
233,-2273.4844,0.7262004,0.76
238,-2276.8271,0.7262004,0.76
243,-2274.043,0.7262004,0.76
248,-2297.0566,0.7262004,0.76
253,-2290.4312,0.7262004,0.76
258,-2270.9194,0.7262004,0.76
263,-2263.5996,0.7262004,0.76
268,-2278.5977,0.7262004,0.76
273,-2283.3354,0.7262004,0.76
278,-2280.4521,0.7262004,0.76
283,-2277.754,0.7262004,0.76
