,elbo,pre_g_mean,pre_acsa
5,-48.494507,0.7185455,0.79
5,-39.745293,0.81814647,0.842
10,-36.228996,0.8569194,0.87
15,-35.567802,0.8497182,0.863
20,-34.3274,0.84648544,0.864
25,-32.43122,0.8415245,0.86
30,-31.714012,0.840533,0.857
35,-30.259476,0.840533,0.857
40,-31.370132,0.840533,0.857
45,-29.310463,0.840533,0.857
50,-30.018097,0.840533,0.857
55,-28.70256,0.840533,0.857
60,-28.532196,0.840533,0.857
65,-29.040573,0.840533,0.857
70,-28.256798,0.840533,0.857
75,-28.152077,0.840533,0.857
80,-27.826553,0.840533,0.857
85,-27.39592,0.840533,0.857
90,-28.864204,0.840533,0.857
95,-27.849052,0.840533,0.857
100,-27.497475,0.840533,0.857
105,-27.56491,0.840533,0.857
110,-26.993858,0.840533,0.857
115,-26.643028,0.840533,0.857
120,-26.952324,0.840533,0.857
125,-28.669785,0.840533,0.857
130,-27.442688,0.840533,0.857
135,-27.476112,0.840533,0.857
140,-27.392181,0.840533,0.857
145,-26.384575,0.840533,0.857
150,-27.719902,0.840533,0.857
155,-27.5941,0.840533,0.857
160,-26.928581,0.840533,0.857
165,-28.23906,0.840533,0.857
170,-29.303757,0.840533,0.857
175,-27.895462,0.840533,0.857
180,-28.060951,0.840533,0.857
185,-27.033257,0.840533,0.857
190,-27.571472,0.840533,0.857
195,-28.795357,0.840533,0.857
200,-28.71753,0.840533,0.857
45,-27.523392,0.854004,0.867
50,-27.798431,0.8574067,0.87
55,-27.604591,0.84714794,0.862
60,-29.56363,0.85052425,0.866
65,-28.570877,0.8460135,0.862
70,-31.367676,0.84833646,0.863
75,-29.61052,0.84833646,0.863
80,-28.963982,0.84833646,0.863
85,-30.419281,0.84833646,0.863
90,-30.432655,0.84833646,0.863
95,-29.262115,0.84833646,0.863
100,-30.68151,0.84833646,0.863
105,-31.783997,0.84833646,0.863
110,-30.772736,0.84833646,0.863
115,-30.664894,0.84833646,0.863
120,-30.71051,0.84833646,0.863
125,-30.094856,0.84833646,0.863
62,-49.965004,0.5871171,0.748
67,-41.202385,0.80195624,0.832
72,-36.483368,0.81490195,0.839
77,-35.081314,0.8194894,0.844
82,-33.580444,0.8098867,0.835
87,-32.369522,0.80864257,0.834
92,-30.501457,0.80864257,0.834
97,-30.75666,0.80864257,0.834
102,-30.465576,0.80864257,0.834
107,-29.242088,0.80864257,0.834
112,-28.43132,0.80864257,0.834
117,-27.794006,0.80864257,0.834
122,-28.856438,0.80864257,0.834
127,-27.258057,0.80864257,0.834
132,-27.538643,0.80864257,0.834
137,-26.877876,0.80864257,0.834
142,-26.194092,0.80864257,0.834
147,-26.503525,0.80864257,0.834
152,-26.486847,0.80864257,0.834
157,-26.31424,0.80864257,0.834
162,-25.395668,0.80864257,0.834
167,-27.208832,0.80864257,0.834
172,-26.419884,0.80864257,0.834
177,-26.53994,0.80864257,0.834
182,-26.804665,0.80864257,0.834
187,-26.804352,0.80864257,0.834
192,-26.413574,0.80864257,0.834
197,-26.919136,0.80864257,0.834
202,-26.026299,0.80864257,0.834
207,-26.18045,0.80864257,0.834
212,-25.907936,0.80864257,0.834
217,-26.14109,0.80864257,0.834
222,-25.886543,0.80864257,0.834
227,-26.583504,0.80864257,0.834
232,-26.951408,0.80864257,0.834
237,-26.649757,0.80864257,0.834
242,-27.228462,0.80864257,0.834
247,-25.554253,0.80864257,0.834
252,-27.735687,0.80864257,0.834
257,-26.846275,0.80864257,0.834
