,pre_g_mean,pre_acsa,o_g_mean,o_acsa,acc_in_training,pass_pre_train_classifier,pass_o_classifier,acc_in_cls0,threshold_in_cls0,valid_sample_in_cls0,valid_ratio_in_cls0,acc_in_cls1,threshold_in_cls1,valid_sample_in_cls1,valid_ratio_in_cls1,acc_in_cls2,threshold_in_cls2,valid_sample_in_cls2,valid_ratio_in_cls2,acc_in_cls3,threshold_in_cls3,valid_sample_in_cls3,valid_ratio_in_cls3,acc_in_cls4,threshold_in_cls4,valid_sample_in_cls4,valid_ratio_in_cls4
1,0.7262004,0.76,0.0,0.35,0.76728207,0.0028926174,0.00045637583,1.0,0.96,0.0,0.0,0.71,1.0395439,159.0,0.0042684563,0.04,1.0958836,68.0,0.0018255033,0.0,1.0488788,106.0,0.0028456375,0.0,1.0447716,98.0,0.0026308724
1,0.7262004,0.76,0.0,0.356,0.7731859,0.0,0.0,1.0,0.96,0.0,0.0,0.78,1.0395439,0.0,0.0,0.0,1.0958836,0.0,0.0,0.0,1.0488788,0.0,0.0,0.0,1.0447716,0.0,0.0
2,0.7262004,0.76,0.0,0.422,0.76121724,0.0,0.0,0.98,0.96,0.0,0.0,0.83,1.0395439,0.0,0.0,0.0,1.0958836,0.0,0.0,0.0,1.0488788,0.0,0.0,0.3,1.0447716,0.0,0.0
3,0.7262004,0.76,0.0,0.302,0.7771844,0.0,0.0,1.0,0.96,0.0,0.0,0.41,1.0395439,0.0,0.0,0.0,1.0958836,0.0,0.0,0.1,1.0488788,0.0,0.0,0.0,1.0447716,0.0,0.0
4,0.7262004,0.76,0.0,0.374,0.77348113,0.0,0.0,0.99,0.96,0.0,0.0,0.65,1.0395439,0.0,0.0,0.0,1.0958836,0.0,0.0,0.22,1.0488788,0.0,0.0,0.01,1.0447716,0.0,0.0
5,0.7262004,0.76,0.0,0.374,0.7699388,0.0,0.0,0.99,0.96,0.0,0.0,0.88,1.0395439,0.0,0.0,0.0,1.0958836,0.0,0.0,0.0,1.0488788,0.0,0.0,0.0,1.0447716,0.0,0.0
6,0.7262004,0.76,0.0,0.4,0.7850204,0.0,0.0,0.95,0.96,0.0,0.0,0.97,1.0395439,0.0,0.0,0.08,1.0958836,0.0,0.0,0.0,1.0488788,0.0,0.0,0.0,1.0447716,0.0,0.0
7,0.7262004,0.76,0.0,0.416,0.8114802,0.0,0.0,0.99,0.96,0.0,0.0,0.85,1.0395439,0.0,0.0,0.24,1.0958836,0.0,0.0,0.0,1.0488788,0.0,0.0,0.0,1.0447716,0.0,0.0
8,0.7262004,0.76,0.0,0.312,0.7997531,0.0,0.0,1.0,0.96,0.0,0.0,0.56,1.0395439,0.0,0.0,0.0,1.0958836,0.0,0.0,0.0,1.0488788,0.0,0.0,0.0,1.0447716,0.0,0.0
9,0.7262004,0.76,0.0,0.41,0.80697185,0.0,0.0,0.99,0.96,0.0,0.0,0.81,1.0395439,0.0,0.0,0.21,1.0958836,0.0,0.0,0.04,1.0488788,0.0,0.0,0.0,1.0447716,0.0,0.0
10,0.7262004,0.76,0.0,0.424,0.812339,0.0,0.0,0.99,0.96,0.0,0.0,0.9,1.0395439,0.0,0.0,0.23,1.0958836,0.0,0.0,0.0,1.0488788,0.0,0.0,0.0,1.0447716,0.0,0.0
11,0.7262004,0.76,0.0,0.392,0.8051202,0.0,0.0,0.99,0.96,0.0,0.0,0.77,1.0395439,0.0,0.0,0.2,1.0958836,0.0,0.0,0.0,1.0488788,0.0,0.0,0.0,1.0447716,0.0,0.0
12,0.7262004,0.76,0.0,0.396,0.80249035,0.0,0.0,1.0,0.96,0.0,0.0,0.87,1.0395439,0.0,0.0,0.11,1.0958836,0.0,0.0,0.0,1.0488788,0.0,0.0,0.0,1.0447716,0.0,0.0
13,0.7262004,0.76,0.0,0.354,0.7967207,0.0,0.0,0.95,0.96,0.0,0.0,0.56,1.0395439,0.0,0.0,0.1,1.0958836,0.0,0.0,0.16,1.0488788,0.0,0.0,0.0,1.0447716,0.0,0.0
14,0.7262004,0.76,0.0,0.346,0.79682803,0.0,0.0,1.0,0.96,0.0,0.0,0.7,1.0395439,0.0,0.0,0.03,1.0958836,0.0,0.0,0.0,1.0488788,0.0,0.0,0.0,1.0447716,0.0,0.0
