,pre_g_mean,pre_acsa,o_g_mean,o_acsa,acc_in_training,pass_pre_train_classifier,pass_o_classifier,acc_in_cls0,valid_sample_in_cls0,valid_ratio_in_cls0,acc_in_cls1,valid_sample_in_cls1,valid_ratio_in_cls1,acc_in_cls2,valid_sample_in_cls2,valid_ratio_in_cls2,acc_in_cls3,valid_sample_in_cls3,valid_ratio_in_cls3,acc_in_cls4,valid_sample_in_cls4,valid_ratio_in_cls4,acc_in_cls5,valid_sample_in_cls5,valid_ratio_in_cls5,acc_in_cls6,valid_sample_in_cls6,valid_ratio_in_cls6,acc_in_cls7,valid_sample_in_cls7,valid_ratio_in_cls7,acc_in_cls8,valid_sample_in_cls8,valid_ratio_in_cls8,acc_in_cls9,valid_sample_in_cls9,valid_ratio_in_cls9
1,0.80864257,0.834,0.0,0.758,0.91932625,0.0016822977,0.0012300512,1.0,0.0,0.0,1.0,1410.0,0.0017121146,0.91,1410.0,0.0017121146,0.77,1410.0,0.0017121146,0.94,1410.0,0.0017121146,0.93,1410.0,0.0017121146,0.75,1410.0,0.0017121146,0.86,1410.0,0.0017121146,0.0,1410.0,0.0017121146,0.42,1189.0,0.0014437619
2,0.80864257,0.834,0.5555227,0.75,0.95999557,0.0016831071,0.001522959,1.0,0.0,0.0,1.0,1410.0,0.0017121146,0.79,1410.0,0.0017121146,0.97,1410.0,0.0017121146,0.95,1410.0,0.0017121146,0.68,1410.0,0.0017121146,0.93,1410.0,0.0017121146,0.76,1410.0,0.0017121146,0.02,1410.0,0.0017121146,0.4,1195.0,0.0014510475
2,0.80864257,0.834,0.6503316,0.789,0.96764183,0.0016859404,0.0016545044,0.99,0.0,0.0,0.99,1410.0,0.0017121146,0.87,1410.0,0.0017121146,0.86,1410.0,0.0017121146,0.93,1410.0,0.0017121146,0.92,1410.0,0.0017121146,0.79,1410.0,0.0017121146,0.84,1410.0,0.0017121146,0.05,1410.0,0.0017121146,0.65,1216.0,0.0014765471
4,0.80864257,0.834,0.6883798,0.781,0.9742908,0.0016836468,0.0016889087,1.0,0.0,0.0,0.99,1410.0,0.0017121146,0.83,1410.0,0.0017121146,0.95,1410.0,0.0017121146,0.94,1410.0,0.0017121146,0.74,1410.0,0.0017121146,0.94,1410.0,0.0017121146,0.83,1410.0,0.0017121146,0.12,1410.0,0.0017121146,0.47,1199.0,0.0014559046
6,0.80864257,0.834,0.7402561,0.796,0.97595304,0.0016845913,0.001706583,1.0,0.0,0.0,0.99,1410.0,0.0017121146,0.93,1410.0,0.0017121146,0.93,1410.0,0.0017121146,0.92,1410.0,0.0017121146,0.8,1410.0,0.0017121146,0.86,1409.0,0.0017109003,0.88,1410.0,0.0017121146,0.28,1410.0,0.0017121146,0.37,1207.0,0.0014656187
8,0.80864257,0.834,0.80261564,0.822,0.98093975,0.001688369,0.0017104956,1.0,0.0,0.0,1.0,1410.0,0.0017121146,0.93,1410.0,0.0017121146,0.93,1410.0,0.0017121146,0.91,1410.0,0.0017121146,0.82,1410.0,0.0017121146,0.77,1410.0,0.0017121146,0.81,1410.0,0.0017121146,0.52,1410.0,0.0017121146,0.53,1234.0,0.0014984038
10,0.80864257,0.834,0.82526153,0.847,0.98182625,0.0016890436,0.0017117099,1.0,0.0,0.0,0.99,1410.0,0.0017121146,0.92,1410.0,0.0017121146,0.87,1410.0,0.0017121146,0.93,1410.0,0.0017121146,0.88,1410.0,0.0017121146,0.94,1410.0,0.0017121146,0.86,1410.0,0.0017121146,0.43,1410.0,0.0017121146,0.65,1239.0,0.0015044751
12,0.80864257,0.834,0.84371334,0.855,0.9822695,0.0016906626,0.0017121146,1.0,0.0,0.0,0.99,1410.0,0.0017121146,0.88,1410.0,0.0017121146,0.92,1410.0,0.0017121146,0.89,1410.0,0.0017121146,0.85,1410.0,0.0017121146,0.89,1410.0,0.0017121146,0.83,1410.0,0.0017121146,0.53,1410.0,0.0017121146,0.77,1251.0,0.0015190464
14,0.80864257,0.834,0.78573895,0.82,0.9834885,0.0016901229,0.0017121146,1.0,0.0,0.0,0.99,1410.0,0.0017121146,0.94,1410.0,0.0017121146,0.91,1410.0,0.0017121146,0.93,1410.0,0.0017121146,0.82,1410.0,0.0017121146,0.89,1410.0,0.0017121146,0.85,1410.0,0.0017121146,0.36,1410.0,0.0017121146,0.51,1247.0,0.0015141893
16,0.80864257,0.834,0.82791376,0.842,0.9852615,0.0016894484,0.0017121146,1.0,0.0,0.0,0.99,1410.0,0.0017121146,0.87,1410.0,0.0017121146,0.94,1410.0,0.0017121146,0.92,1410.0,0.0017121146,0.83,1410.0,0.0017121146,0.86,1410.0,0.0017121146,0.85,1410.0,0.0017121146,0.62,1410.0,0.0017121146,0.54,1242.0,0.001508118
