,pre_g_mean,pre_acsa,o_g_mean,o_acsa,acc_in_training,pass_pre_train_classifier,pass_o_classifier,acc_in_cls0,threshold_in_cls0,valid_sample_in_cls0,valid_ratio_in_cls0,acc_in_cls1,threshold_in_cls1,valid_sample_in_cls1,valid_ratio_in_cls1,acc_in_cls2,threshold_in_cls2,valid_sample_in_cls2,valid_ratio_in_cls2,acc_in_cls3,threshold_in_cls3,valid_sample_in_cls3,valid_ratio_in_cls3,acc_in_cls4,threshold_in_cls4,valid_sample_in_cls4,valid_ratio_in_cls4,acc_in_cls5,threshold_in_cls5,valid_sample_in_cls5,valid_ratio_in_cls5,acc_in_cls6,threshold_in_cls6,valid_sample_in_cls6,valid_ratio_in_cls6,acc_in_cls7,threshold_in_cls7,valid_sample_in_cls7,valid_ratio_in_cls7,acc_in_cls8,threshold_in_cls8,valid_sample_in_cls8,valid_ratio_in_cls8,acc_in_cls9,threshold_in_cls9,valid_sample_in_cls9,valid_ratio_in_cls9
1,0.80864257,0.834,0.0,0.739,0.9171321,0.0050865803,0.0033849608,1.0,1.0,0.0,0.0,1.0,0.99137825,3525.0,0.0050865803,0.92,0.928473,3525.0,0.0050865803,0.94,0.9498387,3525.0,0.0050865803,0.91,0.92522615,3525.0,0.0050865803,0.89,0.90593195,3525.0,0.0050865803,0.85,0.8956771,3525.0,0.0050865803,0.88,0.88228714,3525.0,0.0050865803,0.0,0.7148316,3525.0,0.0050865803,0.0,0.720968,3525.0,0.0050865803
1,0.80864257,0.834,0.0,0.75,0.9573803,0.0050865803,0.004141254,1.0,1.0,0.0,0.0,1.0,0.9891043,3525.0,0.0050865803,0.88,0.9199375,3525.0,0.0050865803,0.97,0.9485217,3525.0,0.0050865803,0.95,0.9244773,3525.0,0.0050865803,0.78,0.90454155,3525.0,0.0050865803,0.87,0.89310956,3525.0,0.0050865803,0.83,0.8821517,3525.0,0.0050865803,0.0,0.7148316,3525.0,0.0050865803,0.22,0.71234924,3525.0,0.0050865803
2,0.80864257,0.834,0.4586533,0.731,0.96795213,0.0050865803,0.0045775212,1.0,1.0,0.0,0.0,0.98,0.98755395,3525.0,0.0050865803,0.87,0.90092796,3525.0,0.0050865803,0.97,0.94640714,3525.0,0.0050865803,0.96,0.9224171,3525.0,0.0050865803,0.71,0.90063083,3525.0,0.0050865803,0.84,0.89203787,3525.0,0.0050865803,0.87,0.8811331,3525.0,0.0050865803,0.01,0.7112276,3525.0,0.0050865803,0.1,0.71234924,3525.0,0.0050865803
3,0.80864257,0.834,0.74167275,0.792,0.97422427,0.0050865803,0.005017637,1.0,1.0,0.0,0.0,1.0,0.98499924,3525.0,0.0050865803,0.9,0.8888148,3525.0,0.0050865803,0.97,0.9461851,3525.0,0.0050865803,0.94,0.9218125,3525.0,0.0050865803,0.8,0.9003435,3525.0,0.0050865803,0.79,0.88985157,3525.0,0.0050865803,0.83,0.88080454,3525.0,0.0050865803,0.3,0.7109667,3525.0,0.0050865803,0.39,0.71234924,3525.0,0.0050865803
4,0.80864257,0.834,0.8224397,0.846,0.9793883,0.0050865803,0.005045214,1.0,1.0,0.0,0.0,1.0,0.9817501,3525.0,0.0050865803,0.9,0.87139314,3525.0,0.0050865803,0.91,0.9449781,3525.0,0.0050865803,0.95,0.92073816,3525.0,0.0050865803,0.86,0.9012853,3525.0,0.0050865803,0.92,0.88926005,3525.0,0.0050865803,0.85,0.8796698,3525.0,0.0050865803,0.41,0.7108021,3525.0,0.0050865803,0.66,0.71234924,3525.0,0.0050865803
5,0.80864257,0.834,0.84063435,0.861,0.9828457,0.0050865803,0.005034953,1.0,1.0,0.0,0.0,0.99,0.97741634,3525.0,0.0050865803,0.92,0.86111575,3525.0,0.0050865803,0.92,0.94440806,3525.0,0.0050865803,0.93,0.9211327,3525.0,0.0050865803,0.86,0.9012853,3525.0,0.0050865803,0.91,0.88926005,3525.0,0.0050865803,0.86,0.8796698,3525.0,0.0050865803,0.42,0.7108021,3525.0,0.0050865803,0.8,0.71234924,3525.0,0.0050865803
6,0.80864257,0.834,0.7081547,0.775,0.9824246,0.0050865803,0.004991823,1.0,1.0,0.0,0.0,0.99,0.97440773,3525.0,0.0050865803,0.94,0.84977466,3525.0,0.0050865803,0.94,0.94316345,3525.0,0.0050865803,0.93,0.9211327,3525.0,0.0050865803,0.69,0.90187377,3525.0,0.0050865803,0.82,0.88926005,3525.0,0.0050865803,0.88,0.8796698,3525.0,0.0050865803,0.27,0.7120622,3525.0,0.0050865803,0.29,0.71234924,3525.0,0.0050865803
7,0.80864257,0.834,0.8330127,0.847,0.9840204,0.0050865803,0.005035434,1.0,1.0,0.0,0.0,0.99,0.9711074,3525.0,0.0050865803,0.87,0.83762604,3525.0,0.0050865803,0.92,0.9413217,3525.0,0.0050865803,0.94,0.92043847,3525.0,0.0050865803,0.76,0.9021416,3525.0,0.0050865803,0.89,0.8902459,3525.0,0.0050865803,0.89,0.8796698,3525.0,0.0050865803,0.69,0.7133082,3525.0,0.0050865803,0.52,0.71234924,3525.0,0.0050865803
8,0.80864257,0.834,0.7799075,0.819,0.9861924,0.0050865803,0.0050636525,1.0,1.0,0.0,0.0,0.99,0.9660359,3525.0,0.0050865803,0.94,0.82619596,3525.0,0.0050865803,0.95,0.940651,3525.0,0.0050865803,0.92,0.9197734,3525.0,0.0050865803,0.84,0.9021416,3525.0,0.0050865803,0.81,0.8902459,3525.0,0.0050865803,0.85,0.8796698,3525.0,0.0050865803,0.59,0.7133082,3525.0,0.0050865803,0.3,0.70980036,3525.0,0.0050865803
9,0.80864257,0.834,0.814566,0.841,0.9845966,0.0050865803,0.005055796,1.0,1.0,0.0,0.0,0.99,0.95987934,3525.0,0.0050865803,0.93,0.81746626,3525.0,0.0050865803,0.96,0.9403522,3525.0,0.0050865803,0.94,0.9197734,3525.0,0.0050865803,0.7,0.9021416,3525.0,0.0050865803,0.9,0.8894658,3525.0,0.0050865803,0.9,0.8796698,3525.0,0.0050865803,0.7,0.7133082,3525.0,0.0050865803,0.39,0.70980036,3525.0,0.0050865803
