,pre_g_mean,pre_acsa,o_g_mean,o_acsa,acc_in_training,pass_pre_train_classifier,pass_o_classifier,acc_in_cls0,threshold_in_cls0,valid_sample_in_cls0,valid_ratio_in_cls0,acc_in_cls1,threshold_in_cls1,valid_sample_in_cls1,valid_ratio_in_cls1,acc_in_cls2,threshold_in_cls2,valid_sample_in_cls2,valid_ratio_in_cls2,acc_in_cls3,threshold_in_cls3,valid_sample_in_cls3,valid_ratio_in_cls3,acc_in_cls4,threshold_in_cls4,valid_sample_in_cls4,valid_ratio_in_cls4,acc_in_cls5,threshold_in_cls5,valid_sample_in_cls5,valid_ratio_in_cls5,acc_in_cls6,threshold_in_cls6,valid_sample_in_cls6,valid_ratio_in_cls6,acc_in_cls7,threshold_in_cls7,valid_sample_in_cls7,valid_ratio_in_cls7,acc_in_cls8,threshold_in_cls8,valid_sample_in_cls8,valid_ratio_in_cls8,acc_in_cls9,threshold_in_cls9,valid_sample_in_cls9,valid_ratio_in_cls9
1,0.86797076,0.879,0.0,0.712,0.9230718,0.00040275772,0.00022927689,1.0,1.0,0.0,0.0,0.98,0.9054383,551.0,0.0007950938,0.97,0.92698693,636.0,0.0009177489,0.95,0.94114345,494.0,0.00071284274,0.96,0.94832385,175.0,0.00025252526,0.81,0.93442094,263.0,0.00037950938,0.76,0.9250099,140.0,0.00020202021,0.69,0.9358774,43.0,6.204906e-05,0.0,0.94458383,157.0,0.00022655123,0.0,0.95451146,53.0,7.6479075e-05
1,0.86797076,0.879,0.0,0.743,0.9573803,0.00040708674,0.00031489498,1.0,1.0,0.0,0.0,0.98,0.8800663,536.0,0.0007734488,0.97,0.92416734,631.0,0.0009105339,0.94,0.9385009,515.0,0.00074314576,0.9,0.9462986,183.0,0.00026406927,0.7,0.9351138,265.0,0.00038239537,0.92,0.9242607,143.0,0.0002063492,0.88,0.93524694,43.0,6.204906e-05,0.14,0.94458383,177.0,0.00025541126,0.0,0.95451146,46.0,6.637807e-05
2,0.86797076,0.879,0.7686781,0.814,0.9683954,0.00041045374,0.0003174603,1.0,1.0,0.0,0.0,0.98,0.8506771,552.0,0.0007965368,0.91,0.9192035,614.0,0.0008860029,0.97,0.93456495,528.0,0.00076190475,0.94,0.9452699,189.0,0.00027272728,0.83,0.933912,267.0,0.0003852814,0.88,0.9242607,132.0,0.00019047619,0.86,0.93671924,44.0,6.3492065e-05,0.47,0.9462606,185.0,0.00026695526,0.3,0.95451146,49.0,7.070707e-05
3,0.86797076,0.879,0.7421763,0.804,0.97943264,0.00040869007,0.00034455667,1.0,1.0,0.0,0.0,0.97,0.82014894,573.0,0.0008268398,0.97,0.91752005,625.0,0.0009018759,0.94,0.9334587,512.0,0.00073881674,0.96,0.94445246,179.0,0.00025829725,0.9,0.93325925,263.0,0.00037950938,0.83,0.9242607,115.0,0.00016594517,0.79,0.93671924,45.0,6.493506e-05,0.46,0.9462606,184.0,0.00026551227,0.22,0.95451146,53.0,7.6479075e-05
4,0.86797076,0.879,0.8546912,0.869,0.9847075,0.00040772808,0.00034616,1.0,1.0,0.0,0.0,0.97,0.8058728,556.0,0.0008023088,0.93,0.9153883,627.0,0.0009047619,0.98,0.93345255,491.0,0.0007085137,0.93,0.94390243,163.0,0.00023520924,0.89,0.93325925,276.0,0.0003982684,0.91,0.9242607,146.0,0.0002106782,0.89,0.93671924,39.0,5.6277055e-05,0.54,0.9462606,191.0,0.00027561327,0.65,0.95451146,54.0,7.792208e-05
5,0.86797076,0.879,0.8473401,0.859,0.9870789,0.00040051306,0.00034407567,1.0,1.0,0.0,0.0,0.97,0.8058014,585.0,0.00084415585,0.96,0.9146012,603.0,0.00087012985,0.94,0.93345255,524.0,0.00075613277,0.94,0.94390243,168.0,0.00024242424,0.84,0.93325925,242.0,0.00034920636,0.91,0.9242607,138.0,0.0001991342,0.79,0.93671924,35.0,5.0505052e-05,0.6,0.945764,162.0,0.00023376623,0.64,0.95451146,41.0,5.916306e-05
6,0.86797076,0.879,0.8394122,0.853,0.9906915,0.0004126984,0.00036459835,1.0,1.0,0.0,0.0,0.98,0.8019128,581.0,0.00083838386,0.94,0.9146012,596.0,0.00086002884,0.94,0.93292034,512.0,0.00073881674,0.91,0.94390243,192.0,0.00027705627,0.86,0.93325925,242.0,0.00034920636,0.91,0.9242607,160.0,0.00023088024,0.81,0.93671924,51.0,7.359307e-05,0.57,0.94548315,181.0,0.00026118328,0.61,0.95451146,59.0,8.5137086e-05
7,0.86797076,0.879,0.85745484,0.867,0.99235374,0.00040099406,0.00036844637,1.0,1.0,0.0,0.0,0.97,0.7918956,567.0,0.00081818184,0.95,0.9137508,629.0,0.0009076479,0.94,0.93292034,533.0,0.00076911977,0.93,0.9443723,171.0,0.00024675325,0.84,0.93325925,248.0,0.00035786437,0.89,0.9242607,119.0,0.00017171717,0.86,0.93671924,39.0,5.6277055e-05,0.61,0.94548315,158.0,0.00022799423,0.68,0.95451146,37.0,5.3391053e-05
8,0.86797076,0.879,0.83925974,0.856,0.9934619,0.00041782908,0.00036940837,1.0,1.0,0.0,0.0,0.97,0.78992724,584.0,0.0008427128,0.96,0.9129786,622.0,0.0008975469,0.96,0.93292034,543.0,0.0007835498,0.94,0.9443723,195.0,0.0002813853,0.84,0.93325925,242.0,0.00034920636,0.89,0.9242607,148.0,0.00021356421,0.87,0.93671924,55.0,7.9365076e-05,0.52,0.94548315,153.0,0.00022077923,0.61,0.95451146,64.0,9.235209e-05
9,0.86797076,0.879,0.8696777,0.877,0.9942376,0.00041237773,0.00037790605,1.0,1.0,0.0,0.0,0.97,0.78992724,575.0,0.0008297258,0.93,0.9129786,635.0,0.00091630593,0.93,0.93292034,546.0,0.0007878788,0.93,0.9443723,167.0,0.00024098124,0.85,0.93325925,276.0,0.0003982684,0.91,0.9242607,140.0,0.00020202021,0.89,0.93671924,40.0,5.772006e-05,0.64,0.94548315,157.0,0.00022655123,0.72,0.95451146,36.0,5.1948053e-05
10,0.86797076,0.879,0.8665942,0.874,0.9947917,0.00041333976,0.00040131473,1.0,1.0,0.0,0.0,0.97,0.7878266,577.0,0.0008326118,0.92,0.9121537,647.0,0.00093362195,0.96,0.93292034,528.0,0.00076190475,0.9,0.9443723,174.0,0.00025108224,0.85,0.93325925,253.0,0.00036507935,0.91,0.9242607,128.0,0.00018470419,0.85,0.93671924,46.0,6.637807e-05,0.62,0.94548315,181.0,0.00026118328,0.76,0.95451146,44.0,6.3492065e-05
11,0.86797076,0.879,0.8651734,0.874,0.9955674,0.00040772808,0.00038319704,0.99,1.0,0.0,0.0,0.98,0.7857055,546.0,0.0007878788,0.94,0.9121537,610.0,0.00088023086,0.95,0.9335684,531.0,0.0007662338,0.91,0.9443723,206.0,0.0002972583,0.88,0.93325925,234.0,0.00033766235,0.92,0.9242607,144.0,0.00020779221,0.85,0.93671924,45.0,6.493506e-05,0.61,0.94548315,182.0,0.00026262627,0.71,0.95451146,45.0,6.493506e-05
12,0.86797076,0.879,0.8486268,0.859,0.9955674,0.0004163861,0.00038544173,1.0,1.0,0.0,0.0,0.98,0.7857055,560.0,0.00080808083,0.95,0.911292,632.0,0.0009119769,0.92,0.9335684,542.0,0.00078210677,0.88,0.9443723,178.0,0.00025685425,0.84,0.93325925,249.0,0.00035930736,0.9,0.9242607,166.0,0.00023953823,0.86,0.93671924,40.0,5.772006e-05,0.59,0.94548315,186.0,0.00026839826,0.67,0.95451146,44.0,6.3492065e-05
13,0.86797076,0.879,0.8617783,0.87,0.9955674,0.00041750842,0.00040099406,1.0,1.0,0.0,0.0,0.97,0.7814339,548.0,0.0007907648,0.95,0.91207516,661.0,0.00095382397,0.92,0.9335684,527.0,0.0007604618,0.89,0.9443723,200.0,0.00028860028,0.85,0.93325925,250.0,0.00036075036,0.91,0.9242607,170.0,0.00024531025,0.81,0.93671924,49.0,7.070707e-05,0.59,0.94548315,163.0,0.00023520924,0.81,0.95451146,36.0,5.1948053e-05
14,0.86797076,0.879,0.86557984,0.875,0.9963874,0.0004078884,0.00041141573,1.0,1.0,0.0,0.0,0.98,0.77925646,552.0,0.0007965368,0.93,0.91207516,661.0,0.00095382397,0.94,0.9335684,525.0,0.00075757573,0.88,0.9443723,188.0,0.00027128428,0.9,0.93325925,237.0,0.00034199134,0.91,0.9242607,127.0,0.00018326119,0.86,0.93671924,37.0,5.3391053e-05,0.57,0.94548315,176.0,0.00025396826,0.78,0.95451146,41.0,5.916306e-05
15,0.86797076,0.879,0.8563829,0.865,0.99656475,0.00039409974,0.0003939394,1.0,1.0,0.0,0.0,0.98,0.77704906,552.0,0.0007965368,0.94,0.91207516,611.0,0.0008816739,0.92,0.9335684,505.0,0.00072871574,0.92,0.9443723,182.0,0.00026262627,0.84,0.93325925,230.0,0.00033189033,0.86,0.9242607,126.0,0.00018181818,0.86,0.93671924,45.0,6.493506e-05,0.6,0.94548315,163.0,0.00023520924,0.73,0.95451146,44.0,6.3492065e-05
