,elbo,pre_g_mean,pre_acsa,o_g_mean,o_acsa
1,-158.2167,0.7311943,0.58267856,0.83482516,0.7300454
2,-128.74846,0.8282616,0.72508186,0.8354114,0.73142266
3,-116.24862,0.86641324,0.77737933,0.8889912,0.81465524
4,-113.05292,0.87095004,0.80343,0.8805312,0.8007044
5,-110.66037,0.89322156,0.83173525,0.8652838,0.7724087
6,-107.52409,0.88590026,0.8127715,0.8677313,0.7844151
7,-103.67904,0.8938343,0.8336698,0.88977903,0.8234664
8,-103.602715,0.9018394,0.8396159,0.87797767,0.8087875
9,-100.68,0.89966923,0.8315493,0.8809984,0.8021995
10,-103.061005,0.9052563,0.8512388,0.8843257,0.8185975
11,-100.418655,0.9078702,0.84105164,0.8817129,0.7949354
12,-98.42651,0.90260994,0.8337556,0.88752264,0.8112749
13,-98.51219,0.89861304,0.83243793,0.88613296,0.81501746
14,-98.40524,0.8997319,0.831105,0.8773403,0.798151
15,-96.85333,0.90651715,0.83756375,0.88402086,0.8133375
16,-97.15336,0.9086072,0.84517616,0.8855756,0.80483174
17,-96.26845,0.90189373,0.84604156,0.8784988,0.8029737
18,-96.80143,0.9100617,0.8546817,0.8935006,0.8315534
19,-98.27001,0.9055312,0.84328127,0.8795272,0.8098301
20,-96.73484,0.9115164,0.852152,0.87243855,0.78447556
21,-94.40016,0.91300905,0.85126853,0.8884854,0.8166245
22,-95.08033,0.91085064,0.84770465,0.8945722,0.8253188
23,-95.09242,0.90904063,0.8466154,0.89559805,0.8223123
24,-95.58012,0.91584325,0.8591542,0.89641714,0.8159983
25,-96.003334,0.9080759,0.8467821,0.88933694,0.8153945
26,-95.75607,0.9131794,0.8588475,0.88497764,0.8182176
27,-95.0539,0.9088477,0.8572462,0.8894804,0.82705015
28,-93.635155,0.91273737,0.86137277,0.89730126,0.83925974
29,-94.75708,0.9137658,0.8486331,0.8933151,0.8135288
30,-93.83979,0.9010916,0.826002,0.8878766,0.81604904
31,-95.01054,0.91260207,0.85816234,0.8991531,0.8272892
32,-95.5783,0.9194224,0.8594023,0.9001617,0.8296651
33,-91.97217,0.9130589,0.85738266,0.8947181,0.8201911
34,-92.703804,0.910118,0.8502905,0.89276814,0.81966645
35,-92.54988,0.9132455,0.85575897,0.886325,0.7977497
36,-91.65366,0.9149007,0.8665104,0.8928956,0.82674116
37,-92.17738,0.9086714,0.84337974,0.9017103,0.8199079
38,-93.14616,0.91092646,0.8552187,0.89053875,0.8175415
39,-93.2652,0.9172799,0.8719518,0.8984892,0.83825195
40,-92.46455,0.9154219,0.8501818,0.8906275,0.8203878
41,-93.19016,0.91335213,0.85673374,0.8854047,0.80986357
42,-91.853424,0.9116989,0.8517337,0.8948292,0.8191236
43,-91.85428,0.91346097,0.8621152,0.88003504,0.81121665
44,-91.481346,0.91079545,0.8502877,0.90238684,0.83152026
45,-91.45789,0.9126333,0.8544867,0.90445864,0.8327716
46,-90.3168,0.914485,0.86102635,0.90217215,0.84505
47,-90.88593,0.90721846,0.8508548,0.89139426,0.8240091
48,-91.21997,0.91142094,0.850635,0.90121275,0.83118665
49,-90.26908,0.91448784,0.85961145,0.90203464,0.84188426
50,-89.897766,0.9156827,0.86054564,0.9060215,0.844788
51,-91.471756,0.9148259,0.85666955,0.90032315,0.83761567
52,-89.974464,0.91034085,0.85590035,0.90724593,0.84194934
53,-89.82219,0.91585004,0.8510417,0.90659416,0.84622025
54,-90.985146,0.91621,0.8530067,0.90390635,0.834732
55,-89.11932,0.91490555,0.8632068,0.889359,0.81576884
56,-90.71398,0.91553456,0.86044765,0.89401996,0.8339153
57,-90.159805,0.9169171,0.85096353,0.9019514,0.8350967
58,-91.339806,0.9093339,0.85100865,0.9019535,0.85177374
59,-89.59728,0.9131561,0.86069065,0.8748086,0.7925001
60,-89.33537,0.9155593,0.86337173,0.8956602,0.826615
61,-89.02002,0.91325814,0.8574367,0.8994056,0.83270955
