,elbo,pre_g_mean,pre_acsa
5,-5932.5874,0.0,0.476
10,-5903.477,0.0,0.486
15,-5892.0723,0.46134698,0.574
20,-5883.7803,0.35789204,0.552
25,-5888.341,0.2868914,0.594
30,-5879.834,0.51507485,0.624
35,-5879.0557,0.509363,0.632
40,-5870.349,0.509363,0.632
45,-5874.173,0.509363,0.632
50,-5869.6406,0.509363,0.632
55,-5867.1377,0.509363,0.632
60,-5867.0093,0.509363,0.632
65,-5867.613,0.509363,0.632
70,-5864.1616,0.509363,0.632
75,-5879.555,0.509363,0.632
80,-5867.5747,0.509363,0.632
85,-5874.384,0.509363,0.632
90,-5868.802,0.509363,0.632
95,-5869.457,0.509363,0.632
100,-5866.8955,0.509363,0.632
24,-4782.622,0.0,0.474
29,-4740.4243,0.0,0.442
34,-4726.4478,0.36296317,0.586
39,-4718.88,0.3578447,0.526
44,-4704.465,0.0,0.572
49,-4712.1934,0.4890366,0.636
54,-4707.459,0.4890366,0.636
59,-4694.8887,0.4890366,0.636
64,-4703.689,0.4890366,0.636
69,-4698.5825,0.4890366,0.636
74,-4705.517,0.4890366,0.636
79,-4699.393,0.4890366,0.636
84,-4692.0903,0.4890366,0.636
89,-4702.9487,0.4890366,0.636
94,-4695.635,0.4890366,0.636
99,-4700.495,0.4890366,0.636
104,-4691.0063,0.4890366,0.636
109,-4692.545,0.4890366,0.636
114,-4691.283,0.4890366,0.636
119,-4695.7812,0.4890366,0.636
124,-4687.121,0.4890366,0.636
129,-4686.6147,0.4890366,0.636
134,-4692.3315,0.4890366,0.636
139,-4697.4863,0.4890366,0.636
144,-4708.5737,0.4890366,0.636
149,-4697.3643,0.4890366,0.636
154,-4691.9287,0.4890366,0.636
159,-4700.903,0.4890366,0.636
164,-4688.093,0.4890366,0.636
169,-4690.554,0.4890366,0.636
174,-4689.864,0.4890366,0.636
179,-4696.1587,0.4890366,0.636
184,-4699.585,0.4890366,0.636
189,-4687.6724,0.4890366,0.636
194,-4693.7686,0.4890366,0.636
199,-4702.681,0.4890366,0.636
204,-4688.215,0.4890366,0.636
209,-4709.667,0.4890366,0.636
214,-4698.7695,0.4890366,0.636
219,-4688.286,0.4890366,0.636
64,-4705.641,0.4890366,0.636
69,-4694.997,0.4890366,0.636
74,-4693.2227,0.4890366,0.636
79,-4694.0366,0.4890366,0.636
84,-4706.842,0.4890366,0.636
89,-4702.6997,0.4890366,0.636
94,-4704.495,0.4890366,0.636
99,-4691.887,0.4890366,0.636
104,-4709.8677,0.4890366,0.636
109,-4694.878,0.4890366,0.636
114,-4702.5303,0.4890366,0.636
119,-4696.5605,0.4890366,0.636
124,-4703.9824,0.4890366,0.636
129,-4696.3926,0.4890366,0.636
134,-4700.834,0.4890366,0.636
139,-4697.383,0.4890366,0.636
144,-4690.7505,0.4890366,0.636
149,-4709.6777,0.4890366,0.636
154,-4696.332,0.4890366,0.636
159,-4705.76,0.4890366,0.636
164,-4711.368,0.4890366,0.636
169,-4709.5957,0.4890366,0.636
174,-4707.457,0.4890366,0.636
179,-4705.9194,0.4890366,0.636
184,-4703.319,0.4890366,0.636
189,-4708.657,0.4890366,0.636
