,elbo,pre_g_mean,pre_acsa
1,-6444.112,0.0,0.51605564
2,-6406.9487,0.0,0.5792546
3,-6378.0913,0.0,0.51019746
3,-5852.1016,0.61630446,0.668
4,-5854.612,0.59368163,0.682
5,-5842.0176,0.49225733,0.58
6,-5840.9814,0.49232996,0.666
7,-5831.987,0.47409067,0.578
8,-5840.2026,0.48866972,0.65
9,-5835.314,0.6638898,0.724
10,-5829.364,0.5758321,0.706
11,-5827.541,0.31997156,0.61
12,-5822.1396,0.51090807,0.634
13,-5829.079,0.594886,0.698
14,-5819.299,0.7214924,0.75
15,-5822.8735,0.6351835,0.71
16,-5836.021,0.6772024,0.724
17,-5818.1016,0.70344824,0.734
18,-5821.4297,0.7493002,0.762
19,-5816.176,0.0,0.624
20,-5817.0005,0.5977458,0.708
21,-5821.3354,0.56233865,0.656
22,-5817.921,0.710342,0.744
23,-5813.838,0.7128431,0.756
24,-5814.6816,0.65895915,0.726
25,-5812.0454,0.69630975,0.726
26,-5811.9233,0.68193185,0.73
27,-5816.1465,0.7487643,0.77
28,-5814.7627,0.71612096,0.736
29,-5810.6973,0.6676187,0.716
30,-5811.742,0.680237,0.724
31,-5818.7397,0.7014468,0.74
32,-5813.5527,0.57999265,0.706
33,-5812.4336,0.68512446,0.718
34,-5819.331,0.66841674,0.734
35,-5807.825,0.72240555,0.758
36,-5813.3384,0.6741352,0.734
37,-5821.77,0.614084,0.716
38,-5817.111,0.68123084,0.74
39,-5815.3896,0.72578603,0.748
40,-5817.853,0.6802468,0.736
41,-5809.308,0.6678244,0.704
42,-5814.3594,0.69571614,0.732
43,-5811.585,0.718811,0.75
44,-5809.9844,0.705447,0.73
45,-5808.931,0.70328194,0.732
46,-5810.5435,0.72268766,0.75
47,-5804.3423,0.68337,0.734
48,-5806.5776,0.7638437,0.782
49,-5810.19,0.71689767,0.742
50,-5815.837,0.7647247,0.778
51,-5810.065,0.6464564,0.688
52,-5809.835,0.7014772,0.738
53,-5809.865,0.7382147,0.752
54,-5807.344,0.73559624,0.762
55,-5813.67,0.73824567,0.76
56,-5813.1177,0.7361664,0.76
57,-5807.1704,0.6661826,0.706
58,-5808.4263,0.74994636,0.766
59,-5808.367,0.73818165,0.752
60,-5813.3696,0.67337555,0.728
61,-5806.187,0.7273544,0.754
62,-5809.9404,0.75492644,0.768
63,-5806.204,0.75458103,0.772
64,-5820.7144,0.6454326,0.692
65,-5816.439,0.72927654,0.76
66,-5809.721,0.71955234,0.754
67,-5805.335,0.69597244,0.718
68,-5812.529,0.70959413,0.746
69,-5805.425,0.6292465,0.724
70,-5809.3066,0.64240277,0.71
71,-5806.9634,0.69256204,0.73
72,-5806.515,0.6436142,0.718
73,-5809.4785,0.76412493,0.776
74,-5806.464,0.7273529,0.756
75,-5807.1626,0.63432646,0.702
76,-5813.0503,0.714682,0.74
77,-5808.2485,0.7318352,0.75
78,-5808.077,0.7099409,0.746
